# days,inflow_mean,inflow_low,inflow_high,release_mean,release_low,release_high,height_mean,height_low,height_high,demand
6.300000000000000000e+01,9.036461538461536236e+01,4.591957090608856618e+01,1.348096598631421443e+02,9.660399999999998499e+01,6.201431457433943706e+01,1.311936854256605329e+02,2.507692307692306610e-02,-2.565741052811284506e-01,3.067279514349745551e-01,8.763200000000000500e+01
6.400000000000000000e+01,9.049384615384612118e+01,5.249232441539636085e+01,1.284953678922958886e+02,9.606630769230767442e+01,6.226107716532784764e+01,1.298715382192875154e+02,2.161538461538462311e-02,-2.543947987144613010e-01,2.976255679452305958e-01,8.629200000000000159e+01
6.500000000000000000e+01,8.686153846153844427e+01,4.561803009660273744e+01,1.281050468264741653e+02,9.564907692307691889e+01,6.257837053983812581e+01,1.287197833063157191e+02,1.630769230769231470e-02,-2.535103046444939223e-01,2.861256892598785240e-01,8.495200000000001239e+01
6.600000000000000000e+01,8.955538461538466777e+01,3.570459637525914331e+01,1.434061728555101922e+02,9.571369230769231251e+01,6.263812918931694185e+01,1.287892554260676832e+02,1.284615384615382834e-02,-2.536394775037865146e-01,2.793317851960941955e-01,8.361100000000000421e+01
6.700000000000000000e+01,9.076461538461542489e+01,4.466439202200209735e+01,1.368648387472287595e+02,9.584830769230768510e+01,6.284305046215717283e+01,1.288535649224581903e+02,1.007692307692308401e-02,-2.547691749145363782e-01,2.749230210683825670e-01,8.226999999999999602e+01
6.800000000000000000e+01,9.257692307692308020e+01,3.324570734891600665e+01,1.519081388049301609e+02,9.570153846153846189e+01,6.355360974583332023e+01,1.278494671772436106e+02,8.307692307692307598e-03,-2.550877064650929893e-01,2.717030910804775767e-01,8.093000000000000682e+01
6.900000000000000000e+01,9.709538461538460297e+01,3.316108557267325807e+01,1.610296836580959621e+02,9.536923076923073950e+01,6.394555349787311371e+01,1.267929080405883724e+02,9.307692307692306752e-03,-2.548118565611381947e-01,2.734272411765227839e-01,7.959000000000000341e+01
7.000000000000000000e+01,9.042615384615383789e+01,3.936585080410795712e+01,1.414864568881997116e+02,9.407000000000000739e+01,6.249023578789247324e+01,1.256497642121075415e+02,6.538461538461537263e-03,-2.603523589465667198e-01,2.734292820234898169e-01,7.815699999999999648e+01
7.100000000000000000e+01,9.327538461538462400e+01,5.084990957332554018e+01,1.357008596574437149e+02,9.328492307692309282e+01,6.066789429543312906e+01,1.259019518584130566e+02,6.230769230769235036e-03,-2.612317094738013656e-01,2.736932479353398895e-01,7.672399999999998954e+01
7.200000000000000000e+01,8.896307692307691184e+01,4.191297083562758985e+01,1.360131830105262338e+02,9.397384615384613937e+01,6.062814691819068003e+01,1.273195453895015987e+02,3.846153846153842464e-03,-2.648526612878878139e-01,2.725449689801954789e-01,7.529200000000000159e+01
7.300000000000000000e+01,9.317076923076923833e+01,3.363591396332127204e+01,1.527056244982172188e+02,9.458923076923076678e+01,6.220354198745830132e+01,1.269749195510032393e+02,3.538461538461539369e-03,-2.700118756615654814e-01,2.770887987384885731e-01,7.385899999999999466e+01
7.400000000000000000e+01,9.816923076923076508e+01,4.090317444351027376e+01,1.554352870949512635e+02,9.393861538461540306e+01,5.993443202763492650e+01,1.279427987415958796e+02,5.846153846153852481e-03,-2.692658083001264191e-01,2.809581159924340876e-01,7.242699999999999250e+01
7.500000000000000000e+01,9.470461538461539419e+01,4.107756586446477343e+01,1.483316649047660007e+02,9.479999999999998295e+01,5.962301128031826636e+01,1.299769887196816853e+02,6.461538461538467344e-03,-2.718544455965973272e-01,2.847775225196742532e-01,7.099399999999999977e+01
7.600000000000000000e+01,8.868615384615388564e+01,4.659630534624167808e+01,1.307760023460660932e+02,9.286292307692310999e+01,5.667316223332040437e+01,1.290526839205258227e+02,2.999999999999997460e-03,-2.737681617972258508e-01,2.797681617972258561e-01,6.956199999999999761e+01
7.700000000000000000e+01,9.398923076923077247e+01,5.416290734024949671e+01,1.338155541982120553e+02,9.201461538461541068e+01,5.587199511108396166e+01,1.281572356581468739e+02,3.846153846153837694e-03,-2.737046304615516901e-01,2.813969381538593550e-01,6.812999999999999545e+01
7.800000000000000000e+01,8.333076923076922071e+01,4.181293275580186730e+01,1.248486057057365741e+02,9.428753846153848883e+01,5.858681017632454768e+01,1.299882667467524300e+02,-1.153846153846154170e-03,-2.776508474322982867e-01,2.753431551246059428e-01,6.760899999999999466e+01
